date,adj_close,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2010-08-31,4.19666666666667,5.45,4.12666666666667,5.03333333333333,3049200.0,12.59,0.0,16.35,12.38,15.1,1.0,1016400.0
2010-07-30,4.93333333333333,5.1,3.7,4.21,3286800.0,14.8,0.0,15.3,11.1,12.63,1.0,1095600.0
2010-06-30,4.18333333333333,4.71,3.87,4.52,4094400.0,12.55,0.0,14.13,11.61,13.56,1.0,1364800.0
2010-05-28,4.58666666666667,5.47666666666667,4.02,5.23,3026400.0,13.76,0.0,16.43,12.06,15.69,1.0,1008800.0
2010-04-30,5.18666666666667,5.56666666666667,4.42,4.59333333333333,2088300.0,15.56,0.0,16.7,13.26,13.78,1.0,696100.0
2010-03-31,4.55,5.18666666666667,4.41666666666667,4.77,2891400.0,13.65,0.0,15.56,13.25,14.31,1.0,963800.0
2010-02-26,4.72,4.78333333333333,3.5,3.52333333333333,3894600.0,14.16,0.0,14.35,10.5,10.57,1.0,1298200.0
2010-01-29,3.5,4.3,3.5,3.85,2580900.0,10.5,0.0,12.9,10.5,11.55,1.0,860300.0
2009-12-31,3.76666666666667,3.97333333333333,3.65666666666667,3.70666666666667,2341800.0,11.3,0.0,11.92,10.97,11.12,1.0,780600.0
2009-11-30,3.64333333333333,3.68333333333333,2.71333333333333,2.97,2435700.0,10.93,0.0,11.05,8.14,8.91,1.0,811900.0
2009-10-30,2.94,3.32333333333333,2.91333333333333,3.16666666666667,3106800.0,8.82,0.0,9.97,8.74,9.5,1.0,1035600.0
2009-09-30,3.07666666666667,3.57,2.62333333333333,2.70666666666667,2274300.0,9.23,0.0,10.71,7.87,8.12,1.0,758100.0
2009-08-31,2.72666666666667,2.99,2.33333333333333,2.43333333333333,2641500.0,8.18,0.0,8.97,7.0,7.3,1.0,880500.0
2009-07-31,2.40333333333333,2.6,2.13333333333333,2.44333333333333,2018100.0,7.21,0.0,7.8,6.4,7.33,1.0,672700.0
2009-06-30,2.40333333333333,2.59666666666667,2.03666666666667,2.26666666666667,4145400.0,7.21,0.0,7.79,6.11,6.8,1.0,1381800.0
2009-05-29,2.30333333333333,2.36,1.97333333333333,2.32666666666667,2373600.0,6.91,0.0,7.08,5.92,6.98,1.0,791200.0
2009-04-30,2.33666666666667,2.66666666666667,2.00333333333333,2.14333333333333,2081100.0,7.01,0.0,8.0,6.01,6.43,1.0,693700.0
2009-03-31,2.19666666666667,2.68333333333333,1.25333333333333,1.66333333333333,3032100.0,6.59,0.0,8.05,3.76,4.99,1.0,1010700.0
2009-02-27,1.71,2.67666666666667,1.50333333333333,1.96666666666667,2055900.0,5.13,0.0,8.03,4.51,5.9,1.0,685300.0
2009-01-30,2.0,2.75666666666667,1.86666666666667,2.66,1776300.0,6.0,0.0,8.27,5.6,7.98,1.0,592100.0
2008-12-31,2.64666666666667,2.92666666666667,1.80666666666667,2.34333333333333,3650700.0,7.94,0.0,8.78,5.42,7.03,1.0,1216900.0
2008-11-28,2.41666666666667,3.89,1.95,3.64666666666667,3110700.0,7.25,0.0,11.67,5.85,10.94,1.0,1036900.0
2008-10-31,3.62333333333333,4.77333333333333,2.28,4.61,4937700.0,10.87,0.0,14.32,6.84,13.83,1.0,1645900.0
2008-09-30,4.75,5.98,3.68666666666667,4.09333333333333,4812000.0,14.25,0.0,17.94,11.06,12.28,1.0,1604000.0
