,,0
debttototalcapital,preferredtocap,7.107315676187892e-17
rdextorevenue,debttototalcapital,7.107315676187892e-17
debttototalcapital,stdebttocap,7.107315676187892e-17
rdextorevenue,ltdebttocap,7.107315676187892e-17
noncontrollinginterestsharingratio,ltdebttocap,7.107315676187892e-17
ltdebttocap,preferredtocap,7.107315676187892e-17
ltdebttocap,noncontrollinginterestsharingratio,7.107315676187892e-17
debttototalcapital,divpayoutratio,7.107315676187892e-17
ltdebttocap,noncontrolinttocap,7.107315676187892e-17
ltdebttocap,rdextorevenue,7.107315676187892e-17
noncontrolinttocap,debttototalcapital,7.107315676187892e-17
debttototalcapital,rdextorevenue,7.107315676187892e-17
debttototalcapital,noncontrollinginterestsharingratio,7.107315676187892e-17
noncontrollinginterestsharingratio,debttototalcapital,7.107315676187892e-17
debttototalcapital,dividendyield,7.107315676187892e-17
divpayoutratio,nnep,7.498487298228397e-17
noncontrollinginterestsharingratio,nnep,7.498487298228397e-17
nnep,preferredtocap,7.498487298228397e-17
nnep,rdextorevenue,7.498487298228397e-17
stdebttocap,nnep,7.498487298228397e-17
nnep,noncontrolinttocap,7.498487298228397e-17
rdextorevenue,nnep,7.498487298228397e-17
dividendyield,nnep,7.498487298228397e-17
nnep,dividendyield,7.498487298228397e-17
